"Table_Name","Column_Name","Data_Type","Size","Precision_Scale"
UTENTIXRUOLI,id_unique,uniqueidentifier,16,"0/0"
UTENTIXRUOLI,USERID,varchar,20,"0/0"
UTENTIXRUOLI,RUOLO,varchar,20,"0/0"
TAB_PRIMANOTA,id_unique,uniqueidentifier,16,"0/0"
TAB_PRIMANOTA,MOV_CODSOC,varchar,2,"0/0"
TAB_PRIMANOTA,MOV_CONTO,varchar,13,"0/0"
TAB_PRIMANOTA,MOV_DESCR,varchar,50,"0/0"
TAB_PRIMANOTA,MOV_INDIRI,varchar,50,"0/0"
TAB_PRIMANOTA,MOV_LOCALI,varchar,30,"0/0"
TAB_PRIMANOTA,MOV_CAP,varchar,5,"0/0"
TAB_PRIMANOTA,MOV_PROVIN,varchar,2,"0/0"
TAB_PRIMANOTA,MOV_NUMTEL,varchar,30,"0/0"
TAB_PRIMANOTA,MOV_NUMFAX,varchar,30,"0/0"
TAB_PRIMANOTA,MOV_DTREGI,varchar,10,"0/0"
TAB_PRIMANOTA,MOV_DATREG,varchar,10,"0/0"
TAB_PRIMANOTA,MOV_NUMREG,varchar,6,"0/0"
TAB_PRIMANOTA,MOV_DATDOC,varchar,10,"0/0"
TAB_PRIMANOTA,MOV_NUMDOC,varchar,6,"0/0"
TAB_PRIMANOTA,MOV_NUMPRO,varchar,6,"0/0"
TAB_PRIMANOTA,MOV_CODESE,varchar,3,"0/0"
TAB_PRIMANOTA,MOV_CODCAU,varchar,4,"0/0"
TAB_PRIMANOTA,MOV_DESMOV,varchar,35,"0/0"
TAB_PRIMANOTA,MOV_TE,varchar,2,"0/0"
TAB_PRIMANOTA,MOV_DATSCA,varchar,10,"0/0"
TAB_PRIMANOTA,MOV_DARE,numeric,9,"38/38"
TAB_PRIMANOTA,MOV_AVERE,numeric,9,"38/38"
TAB_PRIMANOTA,MOV_SALDO,numeric,9,"38/38"
TAB_PRIMANOTA,MOV_DATOPE,varchar,10,"0/0"
TAB_PRIMANOTA,MOV_DATVAL,varchar,10,"0/0"
TAB_PRIMANOTA,MOV_DESAGG,varchar,30,"0/0"
