area,percorso_menu,voce,form_o_prg,copertura,evidenza_web,reason_code,note,metodo_classificazione
clienti,clienti > Agenti,Aggiornamento,menu_age000,MIGRATO,/agenti,,Consultazione web agganciata via FORM_TO_URL,FORM_TO_URL
clienti,clienti > Agenti,Annullo anagrafica agenti con selezione,menu_ageannu,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Agenti,Elenco anagrafico clienti per agente,menu_ageelen,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Anagrafica,Aggiornamento,menu_cli000,MIGRATO,/clienti,,Consultazione web agganciata via FORM_TO_URL,FORM_TO_URL
clienti,clienti > Anagrafica,Annullo con selezione,menu_cliannu,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Anagrafica,Cambio codice agente in anagrafica,clicage,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Anagrafica,Cambio codice listino in anagrafica,menu_clitlisti,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Anagrafica,Duplicazione anagrafica clienti,menu_clidup,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Anagrafica,Elenco dati anagrafici commerciali,menu_clicomme,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Anagrafica,Elenco dati anagrafici contabili,,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Anagrafica,Elenco note anagrafiche clienti,menu_clinote,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Anagrafica > Gestione contatti prospect,Aggiornamento contatti prospect,menu_cnt000,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Anagrafica > Gestione contatti prospect,Calcolo prezzi base,menu_cntpr,MANCANTE,,,,default
clienti,clienti > Anagrafica > Gestione contatti prospect,Conferma potenziale cliente in effettivo,menu_clieff,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Anagrafica > Gestione contatti prospect,Esportazione contatti da agenti a sede,menu_cnt_export,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Anagrafica > Gestione contatti prospect,Gestione log di trasmissione/ricezione contatti,menu_log_trasmcnt,MANCANTE,,,,default
clienti,clienti > Anagrafica > Gestione contatti prospect,Importazione contatti da agenti a sede,menu_cnt_import,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Anagrafica > Gestione contatti prospect,Parametri per la gestione contatti prospect,paracontatti,MANCANTE,,,,default
clienti,clienti > Anagrafica > Gestione contatti prospect > Statistiche sui contatti prospect,Elenco clienti che bisogna contattare,menu_statcnt_praz,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Anagrafica > Gestione contatti prospect > Statistiche sui contatti prospect,Elenco clienti che non vengono contattati dal,menu_stcntdt,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Anagrafica > Gestione contatti prospect > Statistiche sui contatti prospect,Statistiche contatti,menu_statcnt,MANCANTE,,,,default
clienti,clienti > Anagrafica > Gestione fidelizzazione clienti,Gestione clienti fidelizzati,menu_clifidel,MANCANTE,,,,default
clienti,clienti > Anagrafica > Gestione fidelizzazione clienti,Gestione tessere sconto fedeltà,menu_tes000,MANCANTE,,,,default
clienti,clienti > Anagrafica > Gestione fidelizzazione clienti,Stampa modulo fidelizzazione clienti,fidstam,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Banche,Aggiornamento,menu_ban000,MIGRATO,/banche,,Consultazione web agganciata via FORM_TO_URL,FORM_TO_URL
clienti,clienti > Banche,Annullo con selezione,menu_banannu,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Business unit,Aggiornamento,menu_pdv000,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Business unit,Chiusura di cassa - sede,menu_pdvclose,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Business unit,Chiusura di cassa definitiva - business unit,menu_pdvclose2,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Business unit,Chiusura di cassa provvisoria - business unit,menu_pdvclose2,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Business unit,Situazione in tempo reale degli incassi,menu_saldipdv2,MANCANTE,,,,default
clienti,clienti > Business unit,Stampa degli incassi,menu_tagcolin,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
