parent_id,child_id,link_type,evidence
form:agenzia_en,form:248,OPENS_FORM,agenzia_en.scx
form:agenzia_en,form:248_appendice,OPENS_FORM,agenzia_en.scx
form:agenzia_en,form:agenzia_en2012,OPENS_FORM,agenzia_en.scx
form:agenzia_en,form:agenzia_en2013,OPENS_FORM,agenzia_en.scx
form:agenzia_en,form:agenzia_en_opz_legali,OPENS_FORM,agenzia_en.scx
form:agenzia_en,form:legame_nazioni_unico,OPENS_FORM,agenzia_en.scx
form:agenzia_en,form:pjpwd,OPENS_FORM,agenzia_en.scx
form:agenzia_en,form:spesometro,OPENS_FORM,agenzia_en.scx
form:agenzia_en,prg:aggiorna_an,CALLS_PRG,agenzia_en.scx
form:agenzia_en,prg:aggiorna_legame_nazioni_unico,CALLS_PRG,agenzia_en.scx
form:agenzia_en,prg:control_pi,CALLS_PRG,agenzia_en.scx
form:agenzia_en,prg:control_stato_estero,CALLS_PRG,agenzia_en.scx
form:agenzia_en,prg:estrai_dati_legali_cli_for,CALLS_PRG,agenzia_en.scx
form:albero_categorie,form:org_autorizzazioni,OPENS_FORM,albero_categorie.scx
form:albero_categorie,form:orga_categoria,OPENS_FORM,albero_categorie.scx
form:art_maga_config,form:art_maga_config_edit,OPENS_FORM,art_maga_config.scx
form:articoli_multi,prg:browseview,CALLS_PRG,articoli_multi.scx
form:cambi_giornalieri,prg:menusta,CALLS_PRG,cambi_giornalieri.scx
form:ccogrric,form:ccoricgr,OPENS_FORM,ccogrric.scx
form:ccogrric,form:ccostagr,OPENS_FORM,ccogrric.scx
form:ccogrric,prg:nullo,CALLS_PRG,ccogrric.scx
form:checkpart,form:viewpartitario,OPENS_FORM,checkpart.scx
form:clicage,form:elenco,OPENS_FORM,clicage.scx
form:clicage,prg:browseview,CALLS_PRG,clicage.scx
form:contatta_cli,prg:browseview,CALLS_PRG,contatta_cli.scx
form:contatta_cli,prg:menusta,CALLS_PRG,contatta_cli.scx
form:dad_avanza,form:dad_avanza_input,OPENS_FORM,dad_avanza.scx
form:dad_avanza,form:dad_avanza_scarti,OPENS_FORM,dad_avanza.scx
form:dad_avanza,prg:browseview,CALLS_PRG,dad_avanza.scx
form:dad_avanza,prg:menusta,CALLS_PRG,dad_avanza.scx
form:dad_programmazione,form:dad_programmaz_manuale,OPENS_FORM,dad_programmazione.scx
form:dad_programmazione,form:dad_programmaz_selord,OPENS_FORM,dad_programmazione.scx
form:dad_programmazione,form:edit_note,OPENS_FORM,dad_programmazione.scx
form:dad_programmazione,form:pjpwd,OPENS_FORM,dad_programmazione.scx
form:dad_programmazione,prg:browseview,CALLS_PRG,dad_programmazione.scx
form:dad_programmazione,prg:menusta,CALLS_PRG,dad_programmazione.scx
form:elenco_x_blackbox,form:pjpwd,OPENS_FORM,elenco_x_blackbox.scx
form:elenco_x_blackbox,prg:browseview,CALLS_PRG,elenco_x_blackbox.scx
form:fatchage,form:elenco,OPENS_FORM,fatchage.scx
form:fatchage,prg:fatchage,CALLS_PRG,fatchage.scx
form:ftp000,prg:menusta,CALLS_PRG,ftp000.scx
form:intrastat_controllo_dati_interchange,form:elenco,OPENS_FORM,intrastat_controllo_dati_interchange.scx
form:intrastat_controllo_dati_interchange,form:intrastat_rettifiche,OPENS_FORM,intrastat_controllo_dati_interchange.scx
form:intrastat_controllo_dati_interchange,form:intrastat_stampa_allegati,OPENS_FORM,intrastat_controllo_dati_interchange.scx
form:intrastat_controllo_dati_interchange,prg:browseview,CALLS_PRG,intrastat_controllo_dati_interchange.scx
form:intrastat_controllo_incongruenze,form:intrastat_stampa_allegati,OPENS_FORM,intrastat_controllo_incongruenze.scx
form:intrastat_controllo_incongruenze,form:menu_movstori,OPENS_FORM,intrastat_controllo_incongruenze.scx
form:intrastat_crea_file_interchange,form:intrastat_dati_aziendali,OPENS_FORM,intrastat_crea_file_interchange.scx
form:mag_inventario,form:artacq_sel,OPENS_FORM,mag_inventario.scx
form:mag_inventario,form:mag_inventario_edit_altro,OPENS_FORM,mag_inventario.scx
form:mag_inventario,form:mag_inventario_edit_bob,OPENS_FORM,mag_inventario.scx
form:mag_inventario,form:mag_inventario_edit_cim,OPENS_FORM,mag_inventario.scx
form:mag_inventario,form:mag_inventario_edit_lgn,OPENS_FORM,mag_inventario.scx
form:mag_inventario,form:mag_inventario_edit_man,OPENS_FORM,mag_inventario.scx
form:mag_inventario,form:mag_inventario_new_altro,OPENS_FORM,mag_inventario.scx
form:mag_inventario,form:mag_inventario_new_bob,OPENS_FORM,mag_inventario.scx
form:mag_inventario,form:mag_inventario_new_cgr,OPENS_FORM,mag_inventario.scx
form:mag_inventario,form:mag_inventario_new_cim,OPENS_FORM,mag_inventario.scx
form:mag_inventario,form:mag_inventario_new_lgn,OPENS_FORM,mag_inventario.scx
form:mag_inventario,form:mag_inventario_new_lgn_dati_legno,OPENS_FORM,mag_inventario.scx
form:mag_inventario,form:mag_inventario_new_man,OPENS_FORM,mag_inventario.scx
form:mag_inventario,form:mag_inventario_new_xls,OPENS_FORM,mag_inventario.scx
form:mag_inventario,form:mag_inventario_sel_giacenze,OPENS_FORM,mag_inventario.scx
form:mag_inventario,form:menu_art000,OPENS_FORM,mag_inventario.scx
form:mag_inventario,form:pjpwd,OPENS_FORM,mag_inventario.scx
form:mag_inventario,prg:browseview,CALLS_PRG,mag_inventario.scx
form:mag_inventario,prg:ecommerce_importa_clienti_card::TOKENIZER,CALLS_PROC,chiamata tokenizer()
form:mag_inventario,prg:ecommerce_importa_ordini_clienti_card::TOKENIZER,CALLS_PROC,chiamata tokenizer()
form:mag_inventario_conf,form:mag_inventario_conf_dett,OPENS_FORM,mag_inventario_conf.scx
form:mag_inventario_conf,prg:browseview,CALLS_PRG,mag_inventario_conf.scx
form:mag_inventario_conf,prg:menusta,CALLS_PRG,mag_inventario_conf.scx
form:mag_inventario_sta,prg:menusta,CALLS_PRG,mag_inventario_sta.scx
form:menu000,form:pjpwd,OPENS_FORM,menu000.scx
form:menu000,prg:menu_xls,CALLS_PRG,menu000.scx
form:menu_age000,form:elenco,OPENS_FORM,menu_age000.scx
form:menu_age000,web:Consultazione: templates agenti/list+detail; endpoint GET /agenti,MIGRATED_TO,tracker: Form1
form:menu_ageannu,prg:browseview,CALLS_PRG,menu_ageannu.scx
form:menu_ageelen,form:elenco,OPENS_FORM,menu_ageelen.scx
form:menu_ageelen,prg:menusta,CALLS_PRG,menu_ageelen.scx
form:menu_agg_conti_codces,form:elenco,OPENS_FORM,menu_agg_conti_codces.scx
form:menu_agg_conti_codces,form:menu_ammces,OPENS_FORM,menu_agg_conti_codces.scx
form:menu_agg_conti_codces,prg:menusta,CALLS_PRG,menu_agg_conti_codces.scx
form:menu_agg_dett_cespiti,form:elenco,OPENS_FORM,menu_agg_dett_cespiti.scx
form:menu_agg_dett_cespiti,form:menu_ammces,OPENS_FORM,menu_agg_dett_cespiti.scx
form:menu_agg_dett_cespiti,prg:menusta,CALLS_PRG,menu_agg_dett_cespiti.scx
form:menu_aggregaconti,prg:nullo,CALLS_PRG,menu_aggregaconti.scx
form:menu_aggregannu,form:elenco,OPENS_FORM,menu_aggregannu.scx
form:menu_aggregannu,prg:browseview,CALLS_PRG,menu_aggregannu.scx
form:menu_agn000,(dinamica),UNRESOLVED,menu_agn000.scx (chiamata dinamica &/EXECSCRIPT)
form:menu_agn000,prg:menusta,CALLS_PRG,menu_agn000.scx
form:menu_allebil,prg:menusta,CALLS_PRG,menu_allebil.scx
form:menu_ammcat,form:elenco,OPENS_FORM,menu_ammcat.scx
form:menu_ammcat,web:GET /cespiti/categorie (consultazione con riepilogo per categoria),MIGRATED_TO,tracker: form
form:menu_ammces,form:ammces_dett,OPENS_FORM,menu_ammces.scx
form:menu_ammces,form:elenco,OPENS_FORM,menu_ammces.scx
form:menu_ammces,form:menu_para_numces,OPENS_FORM,menu_ammces.scx
form:menu_ammces,form:paragest,OPENS_FORM,menu_ammces.scx
form:menu_ammces,web:GET /cespiti/{id} copre la consultazione,MIGRATED_TO,tracker: form
form:menu_anabil,form:menu_movstori,OPENS_FORM,menu_anabil.scx
form:menu_anabil,prg:menusta,CALLS_PRG,menu_anabil.scx
form:menu_anace,prg:menusta,CALLS_PRG,menu_anace.scx
form:menu_anace,web:GET /cespiti,MIGRATED_TO,tracker: form
form:menu_analmp,form:discbfo,OPENS_FORM,menu_analmp.scx
form:menu_analmp,form:discbfo_sta,OPENS_FORM,menu_analmp.scx
form:menu_analmp,prg:menusta,CALLS_PRG,menu_analmp.scx
form:menu_annicont,form:annicopy,OPENS_FORM,menu_annicont.scx
form:menu_annicont,form:elenco,OPENS_FORM,menu_annicont.scx
form:menu_art000,form:art_ga_gest,OPENS_FORM,menu_art000.scx
form:menu_art000,form:art_ga_stam,OPENS_FORM,menu_art000.scx
form:menu_art000,form:art_sp_gest,OPENS_FORM,menu_art000.scx
form:menu_art000,form:art_sp_stam,OPENS_FORM,menu_art000.scx
form:menu_art000,form:artacq_new,OPENS_FORM,menu_art000.scx
form:menu_art000,form:artlis,OPENS_FORM,menu_art000.scx
form:menu_art000,form:artprog,OPENS_FORM,menu_art000.scx
form:menu_art000,form:attachments,OPENS_FORM,menu_art000.scx
form:menu_art000,form:dati_bombola,OPENS_FORM,menu_art000.scx
form:menu_art000,form:dati_retail,OPENS_FORM,menu_art000.scx
form:menu_art000,form:deslingue_gest,OPENS_FORM,menu_art000.scx
form:menu_art000,form:deslingue_stam,OPENS_FORM,menu_art000.scx
form:menu_art000,form:elenco,OPENS_FORM,menu_art000.scx
form:menu_art000,form:forart,OPENS_FORM,menu_art000.scx
form:menu_art000,form:formconf,OPENS_FORM,menu_art000.scx
form:menu_art000,form:legaart,OPENS_FORM,menu_art000.scx
form:menu_art000,form:lis_tt_gest,OPENS_FORM,menu_art000.scx
form:menu_art000,form:menu_arteti,OPENS_FORM,menu_art000.scx
form:menu_art000,form:menu_codiart,OPENS_FORM,menu_art000.scx
form:menu_art000,form:menu_lis000av,OPENS_FORM,menu_art000.scx
form:menu_art000,form:menu_lissta,OPENS_FORM,menu_art000.scx
form:menu_art000,form:menu_lisstaav,OPENS_FORM,menu_art000.scx
form:menu_art000,form:paragest,OPENS_FORM,menu_art000.scx
form:menu_art000,form:pjpwd,OPENS_FORM,menu_art000.scx
form:menu_art000,form:prezzi_vendita_banco,OPENS_FORM,menu_art000.scx
form:menu_art000,form:scormi,OPENS_FORM,menu_art000.scx
form:menu_art000,prg:browseview,CALLS_PRG,menu_art000.scx
form:menu_art000,prg:ecommerce_importa_clienti_card::TOKENIZER,CALLS_PROC,chiamata tokenizer()
form:menu_art000,prg:ecommerce_importa_ordini_clienti_card::TOKENIZER,CALLS_PROC,chiamata tokenizer()
form:menu_art000,prg:nullo,CALLS_PRG,menu_art000.scx
form:menu_art000,web:controller ArticleController#detail; entity Article (lettura via JPA),MIGRATED_TO,tracker: Formset1
form:menu_art000,web:entity Article#code; template articoli/list.html col Codice,MIGRATED_TO,tracker: txtArt_codpri33
form:menu_art000,web:entity Article#description,MIGRATED_TO,tracker: txtArt_descr35
form:menu_art000,web:entity Article#extendedDescription,MIGRATED_TO,tracker: txtArt_desest36
form:menu_art000,web:entity Article#extension,MIGRATED_TO,tracker: txtArt_maga34
form:menu_art000,web:entity Article#obsolete; badge Obsoleto in lista e dettaglio,MIGRATED_TO,tracker: Text16
form:menu_art000,web:entity Article#salePrice1..5; template articoli/detail.html card Prezzi,MIGRATED_TO,tracker: txtArt_przve1..5
form:menu_art000,web:entity Article#shortDescription,MIGRATED_TO,tracker: Text21
form:menu_art000,web:entity Article#standardCost,MIGRATED_TO,tracker: Text14
form:menu_art000,web:entity Article#supplierCode (solo fornitore abituale),MIGRATED_TO,tracker: Page5.Command2
form:menu_art000,web:entity Article#vatCode,MIGRATED_TO,tracker: txtArt_codiva41
form:menu_art000,web:template articoli/detail.html (card Anagrafica/Prezzi/Classificazione/Magazzino),MIGRATED_TO,tracker: Pageframe1
form:menu_art000,web:template articoli/list.html + articoli/detail.html; endpoint GET /articoli,MIGRATED_TO,tracker: Form1
