object_id,file,object_type,name,description,new_location
form:248,form/248.scx,FORM,248,,
form:248_appendice,form/248_appendice.scx,FORM,248_appendice,,
form:agenzia_en,form/agenzia_en.scx,FORM,agenzia_en,Gestione dati fiscali per Agenzia Entrate,
form:agenzia_en2012,form/agenzia_en2012.scx,FORM,agenzia_en2012,,
form:agenzia_en2013,form/agenzia_en2013.scx,FORM,agenzia_en2013,,
form:agenzia_en_opz_legali,form/agenzia_en_opz_legali.scx,FORM,agenzia_en_opz_legali,,
form:aggiorna_dati_ddt,form/aggiorna_dati_ddt.scx,FORM,aggiorna_dati_ddt,,
form:aggiorna_plafondf,form/aggiorna_plafondf.scx,FORM,aggiorna_plafondf,,
form:albero_categorie,form/albero_categorie.scx,FORM,albero_categorie,Organizzazione gerarchica categorie articolo,
form:ammces_dett,form/ammces_dett.scx,FORM,ammces_dett,,
form:annicopy,form/annicopy.scx,FORM,annicopy,,
form:aqua_display,form/aqua_display.scx,FORM,aqua_display,,
form:art_ga_gest,form/art_ga_gest.scx,FORM,art_ga_gest,,
form:art_ga_stam,form/art_ga_stam.scx,FORM,art_ga_stam,,
form:art_maga_config,form/art_maga_config.scx,FORM,art_maga_config,Configuratore regole locazioni predefinite per gli articoli di acquisto,
form:art_maga_config_edit,form/art_maga_config_edit.scx,FORM,art_maga_config_edit,,
form:art_sp_gest,form/art_sp_gest.scx,FORM,art_sp_gest,,
form:art_sp_stam,form/art_sp_stam.scx,FORM,art_sp_stam,,
form:artacq_new,form/artacq_new.scx,FORM,artacq_new,,
form:artacq_sel,form/artacq_sel.scx,FORM,artacq_sel,,
form:artctl_sel,form/artctl_sel.scx,FORM,artctl_sel,,
form:artdupl,form/artdupl.scx,FORM,artdupl,,
form:articoli_multi,form/articoli_multi.scx,FORM,articoli_multi,Utility categorie/spedizioni,
form:artlis,form/artlis.scx,FORM,artlis,,
form:artnew,form/artnew.scx,FORM,artnew,,
form:artprog,form/artprog.scx,FORM,artprog,,
form:astmemo,form/astmemo.scx,FORM,astmemo,,
form:astsitu2,form/astsitu2.scx,FORM,astsitu2,,
form:aststa,form/aststa.scx,FORM,aststa,,
form:attachments,form/attachments.scx,FORM,attachments,,
form:attendi,form/attendi.scx,FORM,attendi,,
form:autstam,form/autstam.scx,FORM,autstam,,
form:autvis,form/autvis.scx,FORM,autvis,,
form:bannew,form/bannew.scx,FORM,bannew,,
form:bclselartdiba,form/bclselartdiba.scx,FORM,bclselartdiba,,
form:bclselartdiba_orf,form/bclselartdiba_orf.scx,FORM,bclselartdiba_orf,,
form:bdgdupl_sel,form/bdgdupl_sel.scx,FORM,bdgdupl_sel,,
form:bfopes_qta,form/bfopes_qta.scx,FORM,bfopes_qta,,
form:bfoposelrlec,form/bfoposelrlec.scx,FORM,bfoposelrlec,,
form:bfoposelrleg,form/bfoposelrleg.scx,FORM,bfoposelrleg,,
form:bfoselserial,form/bfoselserial.scx,FORM,bfoselserial,,
form:bfoselserial_bg,form/bfoselserial_bg.scx,FORM,bfoselserial_bg,,
form:bol000_qtamodi,form/bol000_qtamodi.scx,FORM,bol000_qtamodi,,
form:bolannu_pckmsg,form/bolannu_pckmsg.scx,FORM,bolannu_pckmsg,,
form:bolconvserial,form/bolconvserial.scx,FORM,bolconvserial,,
form:bolselserial,form/bolselserial.scx,FORM,bolselserial,,
form:brinot,form/brinot.scx,FORM,brinot,,
form:budget_cons,form/budget_cons.scx,FORM,budget_cons,,
form:budget_prev,form/budget_prev.scx,FORM,budget_prev,,
form:budgetsint000_newcod,form/budgetsint000_newcod.scx,FORM,budgetsint000_newcod,,
form:cambi_giornalieri,form/cambi_giornalieri.scx,FORM,cambi_giornalieri,Scarica cambi giornalieri da Banca d'Italia,
form:cashflow_finance_confl,form/cashflow_finance_confl.scx,FORM,cashflow_finance_confl,,
form:cashflow_finance_newrow,form/cashflow_finance_newrow.scx,FORM,cashflow_finance_newrow,,
form:cassitu2,form/cassitu2.scx,FORM,cassitu2,,
form:ccogrric,form/ccogrric.scx,FORM,ccogrric,Definizione gruppi di centri di costo,
form:cconew,form/cconew.scx,FORM,cconew,,
form:ccoric,form/ccoric.scx,FORM,ccoric,,
form:ccoricgr,form/ccoricgr.scx,FORM,ccoricgr,,
form:ccostagr,form/ccostagr.scx,FORM,ccostagr,,
form:ceenot,form/ceenot.scx,FORM,ceenot,,
form:checkpart,form/checkpart.scx,FORM,checkpart,Verifica il legame tra la prima nota e i partitari,
form:cli_ar_gest,form/cli_ar_gest.scx,FORM,cli_ar_gest,,
form:clicage,form/clicage.scx,FORM,clicage,Cambio Codice Agente,
form:clifidel,form/clifidel.scx,FORM,clifidel,,
form:cntpr,form/cntpr.scx,FORM,cntpr,,
form:commessa000_dupl_attivita,form/commessa000_dupl_attivita.scx,FORM,commessa000_dupl_attivita,,
form:commessa000_newcod,form/commessa000_newcod.scx,FORM,commessa000_newcod,,
form:commessa_tranche,form/commessa_tranche.scx,FORM,commessa_tranche,,
form:conantnew,form/conantnew.scx,FORM,conantnew,,
form:contatta_cli,form/contatta_cli.scx,FORM,contatta_cli,Contatta clienti,
form:contrstudi_dl,form/contrstudi_dl.scx,FORM,contrstudi_dl,,
form:contrstudi_dupl_attivita,form/contrstudi_dupl_attivita.scx,FORM,contrstudi_dupl_attivita,,
form:conv_anaage_onda,form/conv_anaage_onda.scx,FORM,conv_anaage_onda,,
form:conv_anaart_arca,form/conv_anaart_arca.scx,FORM,conv_anaart_arca,,
form:conv_anaart_assolo,form/conv_anaart_assolo.scx,FORM,conv_anaart_assolo,,
form:conv_anaart_onda,form/conv_anaart_onda.scx,FORM,conv_anaart_onda,,
form:conv_anaban_arca,form/conv_anaban_arca.scx,FORM,conv_anaban_arca,,
form:conv_anaban_assolo,form/conv_anaban_assolo.scx,FORM,conv_anaban_assolo,,
form:conv_anaban_gil,form/conv_anaban_gil.scx,FORM,conv_anaban_gil,,
form:conv_anaban_onda,form/conv_anaban_onda.scx,FORM,conv_anaban_onda,,
form:conv_anacli_arca,form/conv_anacli_arca.scx,FORM,conv_anacli_arca,,
form:conv_anacli_assolo,form/conv_anacli_assolo.scx,FORM,conv_anacli_assolo,,
form:conv_anacli_gil,form/conv_anacli_gil.scx,FORM,conv_anacli_gil,,
form:conv_anacli_onda,form/conv_anacli_onda.scx,FORM,conv_anacli_onda,,
form:conv_anafor_arca,form/conv_anafor_arca.scx,FORM,conv_anafor_arca,,
form:conv_anafor_assolo,form/conv_anafor_assolo.scx,FORM,conv_anafor_assolo,,
form:conv_anafor_gil,form/conv_anafor_gil.scx,FORM,conv_anafor_gil,,
form:conv_anafor_onda,form/conv_anafor_onda.scx,FORM,conv_anafor_onda,,
form:conv_ddtcli_arca,form/conv_ddtcli_arca.scx,FORM,conv_ddtcli_arca,,
form:conv_ddtcli_assolo,form/conv_ddtcli_assolo.scx,FORM,conv_ddtcli_assolo,,
form:conv_ddtfor_arca,form/conv_ddtfor_arca.scx,FORM,conv_ddtfor_arca,,
form:conv_ddtfor_assolo,form/conv_ddtfor_assolo.scx,FORM,conv_ddtfor_assolo,,
form:conv_distinta_base_assolo,form/conv_distinta_base_assolo.scx,FORM,conv_distinta_base_assolo,,
form:conv_fapcli_arca,form/conv_fapcli_arca.scx,FORM,conv_fapcli_arca,,
form:conv_fapcli_assolo,form/conv_fapcli_assolo.scx,FORM,conv_fapcli_assolo,,
form:conv_fatcli_arca,form/conv_fatcli_arca.scx,FORM,conv_fatcli_arca,,
form:conv_fatcli_assolo,form/conv_fatcli_assolo.scx,FORM,conv_fatcli_assolo,,
form:conv_giacenze_assolo,form/conv_giacenze_assolo.scx,FORM,conv_giacenze_assolo,,
form:conv_listini_azienda_artfor_assolo,form/conv_listini_azienda_artfor_assolo.scx,FORM,conv_listini_azienda_artfor_assolo,,
form:conv_listini_azienda_articolo_assolo,form/conv_listini_azienda_articolo_assolo.scx,FORM,conv_listini_azienda_articolo_assolo,,
form:conv_listini_azienda_onda,form/conv_listini_azienda_onda.scx,FORM,conv_listini_azienda_onda,,
form:conv_listini_onda,form/conv_listini_onda.scx,FORM,conv_listini_onda,,
form:conv_movcont,form/conv_movcont.scx,FORM,conv_movcont,,
form:conv_movcont_xi,form/conv_movcont_xi.scx,FORM,conv_movcont_xi,,
form:conv_offcli_assolo,form/conv_offcli_assolo.scx,FORM,conv_offcli_assolo,,
form:conv_ordcli_arca,form/conv_ordcli_arca.scx,FORM,conv_ordcli_arca,,
form:conv_ordcli_assolo,form/conv_ordcli_assolo.scx,FORM,conv_ordcli_assolo,,
form:conv_ordfor_arca,form/conv_ordfor_arca.scx,FORM,conv_ordfor_arca,,
form:conv_ordfor_assolo,form/conv_ordfor_assolo.scx,FORM,conv_ordfor_assolo,,
form:conv_parabcl_onda,form/conv_parabcl_onda.scx,FORM,conv_parabcl_onda,,
form:conv_paracac_onda,form/conv_paracac_onda.scx,FORM,conv_paracac_onda,,
form:conv_paracap_onda,form/conv_paracap_onda.scx,FORM,conv_paracap_onda,,
form:conv_paracpa_onda,form/conv_paracpa_onda.scx,FORM,conv_paracpa_onda,,
form:conv_paracsa_onda,form/conv_paracsa_onda.scx,FORM,conv_paracsa_onda,,
form:conv_paranap_onda,form/conv_paranap_onda.scx,FORM,conv_paranap_onda,,
form:conv_parapor_onda,form/conv_parapor_onda.scx,FORM,conv_parapor_onda,,
form:conv_pararep_onda,form/conv_pararep_onda.scx,FORM,conv_pararep_onda,,
