form_file,object_name,object_type,base_class,member,member_kind,purpose,source_tables,status,new_location,reason_code,reason_detail
form/menu_cli000_2016_04_04.scx,CLI000,form,form,Load,event,Setup ambiente/cursori all'apertura maschera clienti,U_CLI_AN,NOT_APPLICABLE,,NOT_APPLICABLE,Setup UI VFP senza logica di business da portare
form/menu_cli000_2016_04_04.scx,grdClienti,grid,grid,PROPERTY:RecordSource,property,Griglia elenco clienti,U_CLI_AN,MIGRATED,controller CustomerController#list; template clienti/list.html; endpoint GET /clienti,,
form/menu_cli000_2016_04_04.scx,Form1,pageframe,pageframe,PROPERTY:ControlSource,property,Schede anagrafica cliente (dati/indirizzi/IVA),U_CLI_AN,MIGRATED,template clienti/detail.html; endpoint GET /clienti/{id},,
form/menu_cli000_2016_04_04.scx,cmdStampaLetteraIntento,commandbutton,commandbutton,Click,button_click,Stampa la lettera di intento del cliente,U_CLI_AN,NOT_MIGRATED,,PRINT_REPORT,Stampa legacy (.frx); la gestione stampe web e' una fase separata
form/menu_cli000_2016_04_04.scx,cmdPersonalizzaLayoutDocumenti,commandbutton,commandbutton,Click,button_click,Personalizza il layout dei documenti del cliente,U_CLI_AN,NOT_MIGRATED,,OUT_OF_SCOPE,Configurazione layout stampe: fuori scope consultazione read-only
form/menu_cli000_2016_04_04.scx,Command1,commandbutton,commandbutton,Click,button_click,Cancella riferimenti da anagrafica generale,U_CLI_AN,NOT_MIGRATED,,WRITE_SIDE,Operazione di scrittura sull'anagrafica: riservata a Opus
form/menu_cli000_2016_04_04.scx,Command2,commandbutton,commandbutton,Click,button_click,Aggiungi referente interno,U_CLI_AN,NOT_MIGRATED,,WRITE_SIDE,Inserimento referente (scrittura): riservata a Opus
form/MENU_ART000.SCX,Form1,form,form,PROPERTY:Caption,property,Titolo maschera 'Anagrafica articoli',U_ART_PR,MIGRATED,template articoli/list.html + articoli/detail.html; endpoint GET /articoli,,
form/MENU_ART000.SCX,Formset1,formset,formset,savesql,method,Salvataggio articolo su SQL (insert/update U_ART_PR),U_ART_PR,NOT_MIGRATED,,WRITE_SIDE,Manutenzione articoli resta su VFP; slice web e' consultazione read-only
form/MENU_ART000.SCX,Formset1,formset,formset,loadvar/savevar,method,Carica/salva le memvar M.art_* dell'articolo corrente,U_ART_PR,MIGRATED,controller ArticleController#detail; entity Article (lettura via JPA),,
form/MENU_ART000.SCX,Formset1,formset,formset,cerca_dati_tecnici,method,Ricerca dati tecnici articolo,U_ART_PR,NOT_MIGRATED,,DEFERRED,Dati tecnici/disegni non inclusi nella prima consultazione
form/MENU_ART000.SCX,Pageframe1,pageframe,pageframe,PROPERTY:Caption,property,12 tab: Anagrafica/Dati vari/Listini/Barcode/Articoli fornitore/Note/Movimentazioni/Editoria/Mag.informatico/Etichette/Web/Dati statistici,U_ART_PR,PARTIAL,template articoli/detail.html (card Anagrafica/Prezzi/Classificazione/Magazzino),DEFERRED,Consultazione copre i campi chiave; tab specialistici (Editoria/Web/Etichette/Statistici) non portati
form/MENU_ART000.SCX,txtArt_codpri33,textbox,textbox,PROPERTY:ControlSource,property,Codice articolo (M.art_codpri),U_ART_PR,MIGRATED,entity Article#code; template articoli/list.html col Codice,,
form/MENU_ART000.SCX,txtArt_maga34,textbox,textbox,PROPERTY:ControlSource,property,Estensione codice (M.art_maga),U_ART_PR,MIGRATED,entity Article#extension,,
form/MENU_ART000.SCX,txtArt_descr35,textbox,textbox,PROPERTY:ControlSource,property,Descrizione (M.art_descr),U_ART_PR,MIGRATED,entity Article#description,,
form/MENU_ART000.SCX,txtArt_desest36,textbox,textbox,PROPERTY:ControlSource,property,Descrizione estesa (M.art_desest),U_ART_PR,MIGRATED,entity Article#extendedDescription,,
form/MENU_ART000.SCX,txtArt_przve1..5,textbox,textbox,PROPERTY:ControlSource,property,Prezzi di vendita 1-5 (M.art_przven/przve2..5),U_ART_PR,MIGRATED,entity Article#salePrice1..5; template articoli/detail.html card Prezzi,,
form/MENU_ART000.SCX,Text14,textbox,textbox,PROPERTY:ControlSource,property,Prezzo di costo standard (M.art_przcos),U_ART_PR,MIGRATED,entity Article#standardCost,,
form/MENU_ART000.SCX,txtArt_codiva41,textbox,textbox,PROPERTY:ControlSource,property,Codice IVA (M.art_codiva),U_ART_PR,MIGRATED,entity Article#vatCode,,
form/MENU_ART000.SCX,Text16,textbox,textbox,PROPERTY:ControlSource,property,Flag obsoleto (m.art_obsol),U_ART_PR,MIGRATED,entity Article#obsolete; badge Obsoleto in lista e dettaglio,,
form/MENU_ART000.SCX,Text21,textbox,textbox,PROPERTY:ControlSource,property,Descrizione ridotta / REF (M.art_desrid),U_ART_PR,MIGRATED,entity Article#shortDescription,,
form/MENU_ART000.SCX,Command2,commandbutton,commandbutton,Click,button_click,Esplosione distinta base,U_ART_PR,NOT_MIGRATED,,OUT_OF_SCOPE,Distinta base fuori dalla consultazione anagrafica; slice dedicata futura
form/MENU_ART000.SCX,Command11,commandbutton,commandbutton,Click,button_click,Dov'e' usato in Di.Ba.,U_ART_PR,NOT_MIGRATED,,OUT_OF_SCOPE,Analisi impieghi distinta base rinviata
form/MENU_ART000.SCX,Command4,commandbutton,commandbutton,Click,button_click,Stampa listini,U_ART_PR,NOT_MIGRATED,,PRINT_REPORT,Stampa legacy (.frx); gestione stampe web separata
form/MENU_ART000.SCX,Command3/5/6/7/1,commandbutton,commandbutton,Click,button_click,Apertura tabelle collegate (Tipologia prodotti/Materie prime/Materiale consumo/Sottocategorie/Business Unit),PARA,NOT_MIGRATED,,DEFERRED,Tabelle di appoggio consultabili da /parametri; scorciatoie non replicate
form/MENU_ART000.SCX,Page5.Command2,commandbutton,commandbutton,Click,button_click,Configura fornitori dell'articolo,U_ART_PR,PARTIAL,entity Article#supplierCode (solo fornitore abituale),DEFERRED,Anagrafica articolo-fornitori multipli non portata
